id,documento,completato,linkUrl,projectId,nonNecessario
c4,Analisi dei requisiti,true,,p2,false
c5,Documento di progetto,false,,p2,false
_8mp1x4o,Analisi dei requisiti,true,,p1,false
_ztjbk2r,Documento di progetto,true,,p1,false
,Test,false,,_ji7jcq6,true
,Analisi dei requisiti,true,,_ji7jcq6,false
,Documento Privacy BD,true,,_ji7jcq6,false
,Documento messa in produzione,true,,_ji7jcq6,false
,Manuale utente,false,,_ji7jcq6,false
,Service Activation,true,,_ji7jcq6,false
,Benefici ottenuti,false,,_ji7jcq6,false
,Documento di progetto,false,,_ji7jcq6,false
